time,T,RH,P,NOx,SO2,CO,O3,EW,NW,DOY,hour
2020-10-02 13:10:00,14.78,62.6,1016.4,6.368558,0.247631,178.2624,28.864962,3.701085187353893,-0.6691466760767353,0.7561643835616438,0.5416666666666666
2020-10-02 13:20:00,14.64,62.0,1016.38,7.913234,0.242957,181.5384,28.209675,4.335155960852603,-0.5354865621892648,0.7561643835616438,0.5416666666666666
2020-10-02 13:30:00,14.64,62.4,1016.41,7.433132,0.217274,173.923,28.865984,3.434653754863388,-1.1488258006880554,0.7561643835616438,0.5416666666666666
2020-10-02 13:40:00,14.73,60.5,1016.47,7.723380000000001,0.253456,173.27040000000002,29.416694,4.060034924598064,-1.084821473600646,0.7561643835616438,0.5416666666666666
2020-10-02 13:50:00,14.6,61.4,1016.5,7.68859,0.204427,174.0114,29.52626,4.21164507224734,-1.384680954443387,0.7561643835616438,0.5416666666666666
2020-10-02 14:00:00,14.51,62.1,1016.48,6.875498,0.199754,156.07139999999998,30.43719,3.879512309162935,-0.5626879635932257,0.7561643835616438,0.5833333333333334
2020-10-02 14:10:00,14.48,62.8,1016.48,7.388402000000001,0.191578,172.28760000000003,30.91783,4.601069815010187,-1.138452674625621,0.7561643835616438,0.5833333333333334
2020-10-02 14:20:00,14.45,63.0,1016.47,6.308918,0.253438,168.3902,31.768561,3.43296899381386,-0.9997204631626636,0.7561643835616438,0.5833333333333334
2020-10-02 14:30:00,14.37,64.2,1016.43,5.61113,0.228921,175.015,32.442634,4.313042740599268,-1.2554930178370456,0.7561643835616438,0.5833333333333334
2020-10-02 14:40:00,14.37,64.0,1016.39,6.9083,0.226583,181.97,30.917885,5.575678854464988,0.1914645483276406,0.7561643835616438,0.5833333333333334
2020-10-02 14:50:00,14.320000000000002,64.1,1016.33,5.886468,0.179889,173.598,31.808092,4.208274169917179,0.0193162922935581,0.7561643835616438,0.5833333333333334
2020-10-02 15:00:00,14.31,64.9,1016.3,6.374522,0.202061,182.5082,31.629482000000003,3.7361589041722687,0.1919909216425345,0.7561643835616438,0.625
2020-10-02 15:10:00,14.320000000000002,65.0,1016.27,6.385456,0.204394,179.2452,31.509095,4.111232653461303,0.1290309867023253,0.7561643835616438,0.625
2020-10-02 15:20:00,14.36,64.7,1016.29,6.800948,0.192714,172.1706,30.928815,3.0778193790552626,-0.6682140042580091,0.7561643835616438,0.625
2020-10-02 15:30:00,14.320000000000002,64.9,1016.23,5.702578,0.193879,165.3144,32.36577,3.145248590832287,-0.4388650911759532,0.7561643835616438,0.625
2020-10-02 15:40:00,14.330000000000002,63.4,1016.25,6.375516,0.192708,167.9326,31.769696,3.778759357463808,-0.0977304609244372,0.7561643835616438,0.625
2020-10-02 15:50:00,14.38,61.4,1016.24,7.871486,0.183366,175.4388,29.885708,3.6806133358756425,-0.1992756876386762,0.7561643835616438,0.625
